superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
90 ㎡,,2.0,2.0,Palma,Palma City Centre,995.000 EUR
192 ㎡,134 ㎡,3.0,2.0,Central,Alaró,995.000 EUR
240 ㎡,"1,48 ㏊",5.0,4.0,Norte,Muro,1.850.000 EUR
,"2,85 ㏊",,,Sur,Llucmajor,599.000 EUR
,"1,71 ㏊",,,Central,Moscari,790.000 EUR
511 ㎡,"1,71 ㏊",4.0,5.0,Central,Moscari,2.900.000 EUR
673 ㎡,"3,62 ㏊",4.0,4.0,Central,Moscari,4.950.000 EUR
832 ㎡,"1,98 ㏊",5.0,5.0,Central,Moscari,3.950.000 EUR
392 ㎡,2.024 ㎡,4.0,3.0,Central,Son Gual,4.300.000 EUR
221 ㎡,196 ㎡,4.0,5.0,Norte,Pollensa,1.975.000 EUR
306 ㎡,"1,48 ㏊",4.0,4.0,Sur,Llucmajor,1.295.000 EUR
211 ㎡,607 ㎡,3.0,2.0,Sur,Cala Blava,1.350.000 EUR
87 ㎡,352 ㎡,3.0,2.0,Norte,Puerto Alcudia - Alcanada,895.000 EUR
87 ㎡,403 ㎡,3.0,2.0,Norte,Puerto Alcudia - Alcanada,875.000 EUR
87 ㎡,374 ㎡,3.0,2.0,Norte,Puerto Alcudia,885.000 EUR
87 ㎡,305 ㎡,3.0,2.0,Norte,Puerto Alcudia - Alcanada,795.000 EUR
87 ㎡,436 ㎡,3.0,2.0,Norte,Puerto Alcudia - Alcanada,895.000 EUR
350 ㎡,600 ㎡,4.0,5.0,Norte,Alcudia - Bonaire,1.750.000 EUR
153 ㎡,400 ㎡,3.0,2.0,Sur,Cala Pi,860.000 EUR
350 ㎡,800 ㎡,7.0,4.0,Sur,Cala Blava,1.200.000 EUR
220 ㎡,142 ㎡,4.0,3.0,Noreste,Artá,1.750.000 EUR
74 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,470.000 EUR
115 ㎡,,3.0,3.0,Norte,Puerto Pollensa,795.000 EUR
586 ㎡,4.182 ㎡,5.0,4.0,Central,Selva,2.500.000 EUR
60 ㎡,,2.0,2.0,Suroeste,Portals,1.295.000 EUR
,2.350 ㎡,,,Son Vida & Palma Alrededores,Son Vida,2.250.000 EUR
580 ㎡,"1,69 ㏊",5.0,5.0,Central,Santa María,A Consultar
435 ㎡,"3,76 ㏊",5.0,3.0,Central,Inca,2.300.000 EUR
545 ㎡,2.800 ㎡,17.0,12.0,Sureste,Cala d'Or,3.600.000 EUR
240 ㎡,1.800 ㎡,6.0,6.0,Sureste,Cala d'Or,1.200.000 EUR
150 ㎡,,4.0,3.0,Palma,Playa de Palma & Arenal,1.397.000 EUR
150 ㎡,,3.0,1.0,Palma,Palma City Centre,680.000 EUR
264 ㎡,"4,36 ㏊",4.0,3.0,Central,Sencelles,1.650.000 EUR
135 ㎡,,4.0,2.0,Palma,Portixol & Molinar,1.890.000 EUR
226 ㎡,1.050 ㎡,4.0,3.0,Noreste,San Lorenzo,1.650.000 EUR
153 ㎡,,3.0,3.0,Palma,Portixol & Molinar,3.250.000 EUR
87 ㎡,,2.0,1.0,Suroeste,Illetas,698.000 EUR
453 ㎡,1.600 ㎡,5.0,4.0,Sureste,Cala d'Or,4.900.000 EUR
105 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,950.000 EUR
265 ㎡,197 ㎡,3.0,3.0,Noreste,Artá,745.000 EUR
500 ㎡,2.137 ㎡,3.0,4.0,Son Vida & Palma Alrededores,Son Vida,6.800.000 EUR
1.010 ㎡,2.000 ㎡,5.0,7.0,Son Vida & Palma Alrededores,Son Vida,12.900.000 EUR
475 ㎡,8.147 ㎡,7.0,6.0,Central,Inca,1.550.000 EUR
237 ㎡,286 ㎡,4.0,4.0,Norte,Muro,1.100.000 EUR
90 ㎡,,3.0,2.0,Norte,Puerto Alcudia - Alcanada,460.000 EUR
347 ㎡,"1,54 ㏊",4.0,4.0,Central,Maria de la Salut,1.990.000 EUR
323 ㎡,1.510 ㎡,4.0,4.0,Suroeste,Santa Ponsa,3.900.000 EUR
115 ㎡,,2.0,2.0,Suroeste,Bendinat,1.100.000 EUR
587 ㎡,4.600 ㎡,9.0,9.0,Norte,Formentor,A Consultar
965 ㎡,"2,02 ㏊",10.0,5.0,Oeste,Fornalutx,5.000.000 EUR
,1.579 ㎡,,,Son Vida & Palma Alrededores,Puigpunyent & Galilea,290.000 EUR
386 ㎡,1.943 ㎡,5.0,4.0,Norte,Pollensa,4.200.000 EUR
,"1,78 ㏊",,,Sur,Llucmajor,795.000 EUR
